record_id,name,latitude,longitude,crs,type,notes,source,source_date,coordinate_accuracy_m,license,pipeline_version
SGM-JOSEFINA,Josefina,30.122,-115.36,EPSG:4326,abandoned mine,Cu-Fe epithermal in brecciated white granodiorite; E-W adit 5 m + catas,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-SANTA-MARTHA,Santa Martha,30.147,-115.357,EPSG:4326,abandoned mine,epithermal fissure-fills; NW-SE + NE-SW lineament system,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-SAN-MARTIN,San Martin,30.146,-115.375,EPSG:4326,abandoned mine,"specularite, malachite, azurite, chalcopyrite, chrysocolla?, jarosite, pyrite, quartz","SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-SANTA-LUCIA,Santa Lucia,30.158,-115.454,EPSG:4326,abandoned mine,3 catas + 40 m drift (4 x 3 m),"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-LA-VIBORA,La Vibora,30.171,-115.524,EPSG:4326,abandoned mine,vein-fault strike N35E; 2 x 2 x 5 m cut,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-5MINAS,5 Minas,30.124,-115.344,EPSG:4326,abandoned mine,Fe-Cu in tabular brecha zone,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-EL-SACRIFICIO,El Sacrificio,30.124,-115.352,EPSG:4326,mineral occurrence,Fe-Cu hydrothermal veinlets in tabular brecha,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-EL-MORO,El Moro,30.22,-115.396,EPSG:4326,mineral occurrence,occurrence; SGM sheet record,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-LA-TURQUESA,La Turquesa,30.071,-115.446,EPSG:4326,abandoned mine,argillic + Fe-oxide + calcite alteration; massive highly eroded; Cu-Fe-turquoise,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-EL-HORMIGUERO,El Hormiguero,30.071,-115.391,EPSG:4326,abandoned mine,"intense secondary alteration: clays, Fe oxides, calcite","SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-LA-PRIETA,La Prieta,30.07,-115.392,EPSG:4326,abandoned mine,open pit; NE trend on pit face,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-ESPERANZA,Esperanza,30.067,-115.38,EPSG:4326,abandoned mine,veins N65-75E converging at rancheria La Prieta,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-EL-CARDONAL,El Cardonal,30.067,-115.376,EPSG:4326,abandoned mine,normal fault N82E/32NW; turquoise; main mine of region,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
SGM-LA-BONITA,La Bonita,30.048,-115.412,EPSG:4326,abandoned mine,brecha N53E/69NW 0.7 m mineralized; exploration holes around,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",2009,"500 (digitized from 1:50,000)",SGM public sheet; coordinates as transcribed,3.0.0
